"site_id","date","nitrate","phosphate"
"site3",2023-09-03,2.0474,2.3992
"site3",2023-09-10,0.0523,1.2438
"site3",2023-09-17,0.9192,1.9719
"site3",2023-09-24,4.2137,1.3375
"site3",2023-10-01,1.1558,0.8378
"site3",2023-10-08,1.1955,0.6467
"site3",2023-10-15,0.3835,1.6705
"site3",2023-10-22,1.2286,0.2876
"site3",2023-10-29,3.6607,0.3856
"site3",2023-11-05,4.2373,1.7935
"site3",2023-11-12,2.4876,0.6162
"site3",2023-11-19,1.9396,0.7266
"site3",2023-11-26,1.2322,1.5679
"site3",2023-12-03,0.5555,0.3868
"site3",2023-12-10,1.95,0.0355
"site3",2023-12-17,2.8597,0.8132
"site3",2023-12-24,1.0845,0.9663
"site3",2023-12-31,2.2238,0.8437
"site4",2023-01-01,3.4432,1.534
"site4",2023-01-08,2.3491,2.6082
"site4",2023-01-15,3.4197,2.5118
"site4",2023-01-22,3.5295,3.8351
"site4",2023-01-29,6.871,2.024
"site4",2023-02-05,6.4851,2.3941
"site4",2023-02-12,2.9295,1.2476
"site4",2023-02-19,2.7484,3.5803
"site4",2023-02-26,7.8484,2.187
"site4",2023-03-05,2.0485,3.2077
"site4",2023-03-12,4.7841,1.5152
"site4",2023-03-19,2.9918,2.3643
"site4",2023-03-26,5.5096,3.3106
"site4",2023-04-02,3.6247,1.188
"site4",2023-04-09,3.3806,3.4452
"site4",2023-04-16,6.1472,1.9034
"site4",2023-04-23,3.6971,2.094
"site4",2023-04-30,6.8624,1.9363
"site4",2023-05-07,2.5635,1.1121
"site4",2023-05-14,6.9322,2.5564
"site4",2023-05-21,4.5646,3.037
"site4",2023-05-28,2.1431,3.7097
"site4",2023-06-04,5.9743,1.0766
"site4",2023-06-11,4.6672,3.9672
"site4",2023-06-18,5.7629,1.9087
"site4",2023-06-25,2.0028,3.8174
"site4",2023-07-02,3.3035,3.0628
"site4",2023-07-09,4.788,2.3411
"site4",2023-07-16,3.291,3.4494
"site4",2023-07-23,6.8836,1.1185
"site4",2023-07-30,3.8466,3.2171
"site4",2023-08-06,6.1265,2.0462
"site4",2023-08-13,4.3079,3.4878
"site4",2023-08-20,2.6947,2.6066
"site4",2023-08-27,2.7662,1.8236
"site4",2023-09-03,6.0693,3.4028
"site4",2023-09-10,4.5737,1.2749
"site4",2023-09-17,7.0064,3.4963
"site4",2023-09-24,7.8286,1.8306
"site4",2023-10-01,2.4229,3.2593
"site4",2023-10-08,4.7587,3.8925
"site4",2023-10-15,6.2095,1.2444
"site4",2023-10-22,2.5216,3.5631
"site4",2023-10-29,7.9577,3.4067
"site4",2023-11-05,2.6032,2.1555
"site4",2023-11-12,2.2972,1.9828
"site4",2023-11-19,6.118,1.6148
"site4",2023-11-26,6.7216,2.7081
"site4",2023-12-03,4.1216,3.6642
"site4",2023-12-10,3.9508,2.5891
"site4",2023-12-17,3.7226,2.7609
"site4",2023-12-24,2.4798,2.9972
"site4",2023-12-31,3.9613,2.5897
